Address,Price (€),Size (m²),Construction Year,City,Neighborhood,Postal Code,Latitude,Longitude,Condition,Bedrooms,Description,URL,Hoitovastike,Pääomavastike,Erityisvastike,Yhtiövastike yhteensä,icon,last_updated
"Sotarovastintie 4, 00370, Espoo",650000,175.5,1972,Espoo,"51 / Mäkkylä, Mäkkylä, Länsi-Helsinki",00370,60.225324,24.836751,Tyydyttävä,6,"Katso 14 kuvaa tästä 650000 €, 1.kerroksessa 3-4 mh, oh, k, rh, et, kph/wc, erill.wc. Pohjakerroksessa mh, takkah, uima-allas tila, s, pesuh, wc, pukuh, kodinhoitoh, kattilah, varastotiloja., 175.5 m² Asunnot vuodelta 1972",https://asunnot.oikotie.fi/myytavat-asunnot/espoo/22208881,,,,,house-user,2025-02-13 11:50:58
"Sotarovastintie 4, 00370, Espoo",650000,175.5,1972,Espoo,"51 / Mäkkylä, Mäkkylä, Länsi-Helsinki",00370,60.225324,24.836751,Tyydyttävä,6,"Katso 14 kuvaa tästä 650000 €, 1.kerroksessa 3-4 mh, oh, k, rh, et, kph/wc, erill.wc. Pohjakerroksessa mh, takkah, uima-allas tila, s, pesuh, wc, pukuh, kodinhoitoh, kattilah, varastotiloja., 175.5 m² Asunnot vuodelta 1972",https://asunnot.oikotie.fi/myytavat-asunnot/espoo/22208881,,,,,house-user,2025-02-13 11:50:58
"Saunaniemenkuja 3, 02580, Siuntio",799000,221.5,2005,Siuntio,Störsvik,02580,60.071037,24.297558,Hyvä,5,"Katso 30 kuvaa tästä 799000 €, 4h + k + rt + 2x kph + 3x wc + aula + th + khh + viinikellari + tekn + var + piha, 221.5 m² Asunnot Omakotitalo vuodelta 2005. Jykevä talokaunotar meren ja Pickalan golfkenttien äärellä 221,5/321m2",https://asunnot.oikotie.fi/myytavat-asunnot/siuntio/21618487,,,,,house-user,2025-02-13 11:50:58
"Mäntykalliontie 7, 02580, Siuntio",616000,197.1,2005,Siuntio,"Pickala, Störsvik",02580,60.080351,24.288194,Hyvä,6,"Katso 32 kuvaa tästä 616000 €, 6h,k,tkh,khh, kph, s, 197.1 m² Asunnot vuodelta 2005",https://asunnot.oikotie.fi/myytavat-asunnot/siuntio/22379096,,,,,house-user,2025-02-13 11:50:58
"Kulolaakso 14, 02340, Espoo",579000,163.0,2007,Espoo,Latokaski,02340,60.179793,24.658142,Hyvä,5,"Katso 28 kuvaa tästä 579000 €, 5h,avokeittiö, saunaosasto,terassi, 163 m² Asunnot vuodelta 2007",https://asunnot.oikotie.fi/myytavat-asunnot/espoo/21747724,,,,,,2025-02-13 11:50:58
"Monsaksenkuja 9, 01620, Vantaa",640000,295.0,1982,Vantaa,Martinlaakso,01620,60.286690,24.845470,Hyvä,6,"Katso 28 kuvaa tästä 640000 €, 6h, keittiö 2x, kph 2x, s, erill.wc 2x, parvi, kuntoilutila, takkah, autotalli, 295 m² Asunnot Erillistalo vuodelta 1982",https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/22490946,,,,0 € / kk,,2025-02-13 11:50:58
"Kohokkitie 6, 01300, Vantaa",498000,123.0,2019,Vantaa,"Tikkurila, Hiekkaharju",01300,60.299850,25.045569,Hyvä,5,"Katso 37 kuvaa tästä 498000 €, 5h, avo-k, 2 x kph, s, erill. wc, khh, vh, 2 x las. terassi, las. kuisti, 123 m² Asunnot vuodelta 2019",https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/22294609,90 € / kk,,,90 € / kk,,2025-02-13 11:50:58
"Eestinmalmi 12, 02280, Espoo",618000,143.0,2018,Espoo,"Eestinmalmi, Nöykkiö",02280,60.169074,24.688790,Hyvä,5,"Katso 28 kuvaa tästä 618000 €, 5 h, k, rt, 2 x erill. wc, khh, ph, s, 2 x varasto, 143 m² Asunnot Erillistalo vuodelta 2018",https://asunnot.oikotie.fi/myytavat-asunnot/espoo/22696126,"362,50 € / kk",,,"362,50 € / kk",,2025-02-13 11:50:58
"Saunaniemenkuja 3, 02580, Siuntio",799000,221.5,2005,Siuntio,Störsvik,02580,60.071037,24.297558,Hyvä,5,"Katso 30 kuvaa tästä 799000 €, 4h + k + rt + 2x kph + 3x wc + aula + th + khh + viinikellari + tekn + var + piha, 221.5 m² Asunnot Omakotitalo vuodelta 2005. Jykevä talokaunotar meren ja Pickalan golfkenttien äärellä 221,5/321m2",https://asunnot.oikotie.fi/myytavat-asunnot/siuntio/21618487,N/A,N/A,N/A,N/A,home,2025-02-13 11:50:58
"Satulamaakarintie 12, 02780, Espoo",529000,170.0,2002,Espoo,Vanttila,02780,60.190863,24.619590,Hyvä,6,"Katso 42 kuvaa tästä 529000 €, 4mh+oh/avok+aula+khh+s+ph+3 kpl wc+studio+työh+at+kk, 170 m² Asunnot vuodelta 2002",https://asunnot.oikotie.fi/myytavat-asunnot/espoo/22100228,,,,,,2025-02-13 11:50:58
"Villisianpolku 2, 01450, Vantaa",480000,143.0,2003,Vantaa,"Leppäkorpi, Metsola",01450,60.355885,25.090673,Hyvä,6,"Katso 41 kuvaa tästä 480000 €, 4mh, oh, aula, k, rt, 2 wc, khh, kph, psh, s, autotalli, 143 m² Asunnot Omakotitalo vuodelta 2003",https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/22726774,,,,,,2025-02-13 11:50:58
"Sotarovastintie 4, 00370, Espoo",650000,175.5,1972,Espoo,"51 / Mäkkylä, Mäkkylä, Länsi-Helsinki",00370,60.225324,24.836751,Tyydyttävä,6,"Katso 14 kuvaa tästä 650000 €, 1.kerroksessa 3-4 mh, oh, k, rh, et, kph/wc, erill.wc. Pohjakerroksessa mh, takkah, uima-allas tila, s, pesuh, wc, pukuh, kodinhoitoh, kattilah, varastotiloja., 175.5 m² Asunnot vuodelta 1972",https://asunnot.oikotie.fi/myytavat-asunnot/espoo/22208881,N/A,N/A,N/A,N/A,home,2025-02-13 11:50:58
"Mäntykalliontie 7, 02580, Siuntio",616000,197.1,2005,Siuntio,"Pickala, Störsvik",02580,60.080351,24.288194,Hyvä,6,"Katso 32 kuvaa tästä 616000 €, 6h,k,tkh,khh, kph, s, 197.1 m² Asunnot vuodelta 2005",https://asunnot.oikotie.fi/myytavat-asunnot/siuntio/22379096,N/A,N/A,N/A,N/A,home,2025-02-13 11:50:58
"Hirsikalliontie 10, 02710, Espoo",658000,152.0,2025,Espoo,Laaksolahti,02710,60.236416,24.747348,Uusi,5,"Katso 10 kuvaa tästä 658000 €, 5h, k, kph, s, khh, 2xwc, vh, p, ter, var, ak, 152 m² Asunnot Erillistalo vuodelta 2025",https://asunnot.oikotie.fi/myytavat-asunnot/espoo/22747254,,,,,,2025-02-13 11:50:58
"Vuoriharjuntie 10, 02330, Espoo",498000,126.0,2011,Espoo,"Tillinmäki, Saunalahti",02330,60.172264,24.628870,Hyvä,5,"Katso 32 kuvaa tästä 498000 €, 5h+avok+s+kph+khh+vh+var+autokatos, 126 m² Asunnot Paritalo vuodelta 2011",https://asunnot.oikotie.fi/myytavat-asunnot/espoo/22640475,"491,40 € / kk","341,10 € / kk",,"832,50 € / kk",,2025-02-13 11:50:58
"Kirsikkatie 24, 02450, Kirkkonummi",565000,147,2005,Kirkkonummi,Sundsberg,02450,60.158618,24.549248,Hyvä,6,"Katso 60 kuvaa tästä 565000 €, 6h, k, s, 2 terassia, autokatos (yht.järj mukaan 6h, k, s), 147 m² Asunnot vuodelta 2005",https://asunnot.oikotie.fi/myytavat-asunnot/kirkkonummi/22775330,"705,60 € / kk",N/A,N/A,"705,60 € / kk",home,2025-02-13 11:50:58
"Juhannustie 6, 02200, Espoo",629000,179.0,1990,Espoo,Mankkaa,02200,60.183192,24.759198,Tyydyttävä,5,"Katso 26 kuvaa tästä 629000 €, 5h+k+rt+2xkph+wc+s+halli+var+lasitettu terassi+parveke, 179 m² Asunnot vuodelta 1990",https://asunnot.oikotie.fi/myytavat-asunnot/espoo/22782661,275 € / kk,,,275 € / kk,,2025-02-13 11:50:58
"Katiskakuja 2, 02230, Espoo",648000,126.0,1998,Espoo,"Nuottaniemi, Matinkylä, Nuottalahti, Nuottaniemi",02230,60.150711,24.735971,Hyvä,4,"Katso 35 kuvaa tästä 648000 €, 3-4 h, k, rt, erill. wc, kph/ wc, kph/khh, s, lämmin var., parveke, terassi, piha, autokatos (yj. 3-4h+k+s+lämm.var), 126 m² Asunnot vuodelta 1998",https://asunnot.oikotie.fi/myytavat-asunnot/espoo/21407273,693 € / kk,"31,50 € / kk",,"724,50 € / kk",,2025-02-13 11:50:58
"Nuottalahti 2, 02230, Espoo",628000,119.5,2000,Espoo,"Nuottalahti, Matinkylä, Nuottalahti, Nuottaniemi",02230,60.150946,24.733954,Hyvä,5,"Katso 23 kuvaa tästä 628000 €, 5h+k+s+lämm.var (yj mukaan 5 h+k+s+lämm. var), 119.5 m² Asunnot vuodelta 2000",https://asunnot.oikotie.fi/myytavat-asunnot/espoo/21943149,"489,95 € / kk","380,01 € / kk","101,58 € / kk","971,54 € / kk",,2025-02-13 11:50:58
"Kirsikkatie 24, 02450, Kirkkonummi",565000,147,2005,Kirkkonummi,Sundsberg,02450,60.158618,24.549248,Hyvä,6,"Katso 60 kuvaa tästä 565000 €, 6h, k, s, 2 terassia, autokatos (yht.järj mukaan 6h, k, s), 147 m² Asunnot vuodelta 2005",https://asunnot.oikotie.fi/myytavat-asunnot/kirkkonummi/22775330,"705,60 € / kk",,,"705,60 € / kk",,2025-02-13 11:50:58
"Ritaritie 11, 01700, Vantaa",565000,153.0,2004,Vantaa,Kivistö,01700,60.326715,24.854068,Hyvä,4,"Katso 30 kuvaa tästä 565000 €, 4h+k+2 x wc+kph+s+ak+var, 153 m² Asunnot Omakotitalo vuodelta 2004",https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/22782982,,,,,,2025-02-13 11:50:58
